,Unnamed: 0,SA,SV,GID,TID,CT,OTID,1G,2G,SH,SOG,PS%,SV_x,OPS%,O1G,O2G,OSH,OSOG
1,A. Kaut,9.5,13.0,7.0,5.0,4.5,4.0,12.0,1.0,29.5,23.5,43.9,12.0,44.900000000000006,16.0,1.0,43.5,30.5
3,B. Dobson,14.5,18.0,10.0,1.0,5.0,5.0,12.5,1.0,40.0,25.5,43.75,18.0,42.8,12.0,2.0,26.0,21.0
4,B. Dobson,12.0,8.0,14.0,1.0,5.0,3.0,11.333333333333334,0.6666666666666666,40.0,23.666666666666668,45.53333333333333,18.0,48.93333333333334,9.666666666666666,1.3333333333333333,43.333333333333336,27.666666666666668
5,B. Dobson,12.5,15.0,19.0,1.0,6.0,7.0,10.75,0.5,37.5,23.0,45.275,15.5,46.9,7.0,3.0,38.0,26.0
6,B. Krebs,11.0,14.0,8.0,7.0,4.0,3.0,7.0,3.0,38.0,26.0,46.9,9.0,45.8,10.0,1.0,39.0,27.0
7,B. Krebs,12.0,13.0,12.0,7.0,6.5,2.0,8.0,1.5,37.0,24.5,46.099999999999994,11.5,45.2,11.0,0.0,45.5,31.5
8,B. Krebs,12.666666666666666,14.0,13.0,7.0,6.666666666666667,4.0,9.0,1.6666666666666667,40.0,26.333333333333332,48.93333333333333,12.0,47.400000000000006,15.25,1.25,45.25,31.0
9,B. Krebs,12.5,9.0,19.0,7.0,6.25,1.0,10.75,1.25,42.25,27.75,49.27499999999999,12.5,49.27499999999999,10.75,1.25,42.25,27.75
10,B. Riorden,3.0,11.0,10.0,5.0,3.0,1.0,12.0,2.0,26.0,21.0,42.8,8.0,43.75,12.5,1.0,40.0,25.5
11,B. Riorden,6.0,11.0,16.0,5.0,6.0,2.0,9.5,1.0,32.5,24.0,44.0,9.5,43.73333333333333,12.0,0.0,45.333333333333336,30.0
12,C. Kirst,19.0,14.0,8.0,3.0,6.0,7.0,10.0,1.0,39.0,27.0,45.8,13.0,46.9,7.0,3.0,38.0,26.0
13,C. Kirst,14.0,15.0,9.0,3.0,7.0,2.0,10.5,1.0,45.0,27.5,46.9,13.5,49.0,11.0,0.0,51.0,36.0
14,C. Kirst,13.0,11.0,14.0,3.0,6.0,1.0,9.666666666666666,1.3333333333333333,43.333333333333336,27.666666666666668,48.93333333333334,14.0,45.53333333333333,11.333333333333334,0.6666666666666666,40.0,23.666666666666668
15,C. Kirst,12.0,10.0,17.0,3.0,7.0,8.0,8.25,2.25,41.75,25.25,48.85,13.25,46.4,8.666666666666666,1.3333333333333333,43.666666666666664,26.333333333333332
16,C. Kirst,11.4,15.0,20.0,3.0,7.2,2.0,8.0,1.8,41.6,24.2,49.04,12.6,49.0,11.0,0.0,51.0,36.0
17,D. Ward,12.0,13.0,9.0,2.0,12.0,3.0,11.0,0.0,51.0,36.0,49.0,8.0,46.9,10.5,1.0,45.0,27.5
18,D. Ward,12.0,17.0,12.0,2.0,11.0,7.0,11.0,0.0,45.5,31.5,45.2,10.5,46.099999999999994,8.0,1.5,37.0,24.5
19,D. Ward,13.0,12.0,16.0,2.0,10.666666666666666,5.0,12.0,0.0,45.333333333333336,30.0,43.73333333333333,12.666666666666666,44.0,9.5,1.0,32.5,24.0
20,D. Ward,11.25,13.0,20.0,2.0,10.0,3.0,11.0,0.25,44.0,28.0,43.925,12.5,43.925,11.0,0.25,44.0,28.0
21,J. Kelly,12.0,14.0,11.0,8.0,5.0,4.0,9.0,1.0,45.0,27.0,48.9,12.0,48.300000000000004,14.333333333333334,1.3333333333333333,45.333333333333336,30.0
22,J. Kelly,16.0,13.0,15.0,8.0,7.0,6.0,11.0,1.0,44.5,29.0,46.15,13.0,49.3,16.0,1.0,56.0,34.0
23,J. Kelly,15.0,13.0,17.0,8.0,7.666666666666667,3.0,8.666666666666666,1.3333333333333333,43.666666666666664,26.333333333333332,46.4,13.0,48.85,8.25,2.25,41.75,25.25
24,K. Bernlohr,6.0,1.0,19.0,7.0,4.0,1.0,7.0,3.0,38.0,26.0,46.9,0.0,45.275,10.75,0.5,37.5,23.0
25,L. Entenmann,2.0,14.0,18.0,4.0,9.0,6.0,12.0,0.0,45.0,29.0,37.7,4.0,48.25,13.5,1.0,49.5,30.0
26,M. DeLuca,0.0,0.0,20.0,2.0,12.0,3.0,11.0,0.0,51.0,36.0,49.0,1.0,49.04,8.0,1.8,41.6,24.2
27,O. McElroy,17.0,11.0,15.0,6.0,4.0,8.0,16.0,1.0,56.0,34.0,49.3,15.0,46.15,11.0,1.0,44.5,29.0
28,O. McElroy,12.5,9.0,18.0,6.0,5.0,4.0,13.5,1.0,49.5,30.0,48.25,13.0,37.7,12.0,0.0,45.0,29.0
30,T. Troutner,12.5,8.0,7.0,4.0,3.0,5.0,16.0,1.0,43.5,30.5,44.900000000000006,13.5,43.9,12.0,1.0,29.5,23.5
31,T. Troutner,12.333333333333334,16.0,11.0,4.0,5.333333333333333,8.0,14.333333333333334,1.3333333333333333,45.333333333333336,30.0,48.300000000000004,11.666666666666666,48.9,9.0,1.0,45.0,27.0
32,T. Troutner,13.0,10.0,13.0,4.0,6.5,7.0,15.25,1.25,45.25,31.0,47.400000000000006,12.75,48.93333333333333,9.0,1.6666666666666667,40.0,26.333333333333332
