,Unnamed: 0,SA,SV,GID,TID,CT,OTID,1G,2G,SH,SOG,PS%
0,A. Kaut,11.333333333333334,12.333333333333334,5.0,5.0,5.333333333333333,6.0,10.666666666666666,1.3333333333333333,29.666666666666668,22.333333333333332,42.13333333333333
1,B. Dobson,12.2,15.4,10.0,1.0,6.0,4.6,11.4,0.6,38.2,23.4,45.8
2,B. Krebs,12.8,11.8,11.2,7.0,6.2,2.8,10.8,1.0,43.0,28.2,47.98
3,B. Riorden,7.333333333333333,10.0,9.666666666666666,5.0,5.333333333333333,3.0,8.333333333333334,0.6666666666666666,32.333333333333336,22.0,44.93333333333334
4,C. Kirst,11.166666666666666,13.0,11.666666666666666,3.0,6.666666666666667,4.0,8.333333333333334,1.8333333333333333,40.833333333333336,24.333333333333332,47.916666666666664
5,D. Ward,11.4,12.6,11.6,2.0,9.4,3.8,10.8,0.2,44.0,27.4,45.28
6,J. Kelly,13.0,13.0,12.0,8.0,7.5,4.5,8.75,1.0,42.25,24.5,46.225
7,K. Bernlohr,4.0,0.5,11.5,7.0,5.0,2.5,9.0,1.5,42.0,28.0,44.849999999999994
8,L. Entenmann,3.0,9.0,15.5,4.0,6.5,6.5,14.5,0.0,43.5,28.0,43.45
9,M. DeLuca,1.0,0.5,10.5,2.0,9.5,2.0,10.5,0.0,47.5,30.5,49.85
10,O. McElroy,14.0,11.666666666666666,13.0,6.0,6.333333333333333,4.333333333333333,10.333333333333334,0.6666666666666666,46.0,27.333333333333332,46.5
11,S. Sconone,16.0,5.0,3.0,6.0,9.0,5.0,9.0,1.0,47.0,27.0,50.9
12,T. Troutner,13.2,12.2,7.4,4.0,7.0,6.0,14.6,1.0,45.2,30.6,45.46
